========================================
hono_B1_Frequencies_1_0.1.out
0.1 atm
T,P1->W1
590.0,4.88934e-12
600.0,4.70997e-12
610.0,4.53824e-12
620.0,4.37456e-12
630.0,4.21781e-12
640.0,4.06805e-12
650.0,3.92489e-12
660.0,3.78758e-12
670.0,3.65652e-12
680.0,3.53068e-12
690.0,3.41059e-12
700.0,3.29494e-12
800.0,2.36788e-12
900.0,1.74054e-12
1000.0,1.30378e-12
1100.0,9.92832e-13
1200.0,7.66805e-13
1300.0,5.99619e-13
1400.0,4.73918e-13
1500.0,3.78516e-13
1600.0,3.04777e-13
1700.0,2.47629e-13
1800.0,2.03004e-13
1900.0,1.6757e-13
2000.0,1.39537e-13
2100.0,1.17225e-13
2200.0,9.92553e-14
2300.0,8.4733e-14
2400.0,7.26755e-14
2500.0,6.30351e-14
2600.0,5.46889e-14
2700.0,4.78983e-14
2800.0,4.21625e-14
2900.0,3.69923e-14
3000.0,3.21791e-14
========================================
hono_W3_Energy_1_34.9759.out
65 atm
T,P1->W1
200.0,3.4045e-11
210.0,3.32891e-11
220.0,3.25513e-11
230.0,3.1828e-11
240.0,3.1118e-11
250.0,3.04186e-11
260.0,2.97305e-11
270.0,2.90515e-11
280.0,2.83828e-11
290.0,2.77234e-11
300.0,2.70729e-11
310.0,2.64332e-11
320.0,2.58038e-11
330.0,2.51835e-11
340.0,2.45745e-11
350.0,2.39755e-11
360.0,2.33882e-11
370.0,2.28126e-11
380.0,2.22473e-11
390.0,2.16942e-11
400.0,2.1152e-11
410.0,2.06229e-11
420.0,2.0105e-11
430.0,1.95984e-11
440.0,1.9104e-11
450.0,1.86207e-11
460.0,1.81498e-11
470.0,1.76905e-11
480.0,1.72421e-11
490.0,1.68054e-11
500.0,1.6379e-11
510.0,1.59641e-11
520.0,1.55601e-11
530.0,1.51659e-11
540.0,1.47824e-11
550.0,1.44094e-11
560.0,1.40458e-11
570.0,1.36921e-11
580.0,1.33474e-11
590.0,1.30125e-11
600.0,1.26866e-11
610.0,1.23686e-11
620.0,1.20602e-11
630.0,1.17596e-11
640.0,1.14674e-11
650.0,1.11833e-11
660.0,1.09064e-11
670.0,1.06378e-11
680.0,1.03758e-11
690.0,1.01219e-11
700.0,9.87396e-12
800.0,7.7386e-12
900.0,6.112e-12
1000.0,4.8644e-12
1100.0,3.90109e-12
1200.0,3.15107e-12
1300.0,2.56259e-12
1400.0,2.09686e-12
1500.0,1.72677e-12
1600.0,1.42953e-12
1700.0,1.19069e-12
1800.0,9.9786e-13
1900.0,8.40652e-13
2000.0,7.12907e-13
2100.0,6.08763e-13
2200.0,5.23298e-13
2300.0,4.53026e-13
2400.0,3.93691e-13
2500.0,3.45328e-13
2600.0,3.03201e-13
2700.0,2.68292e-13
2800.0,2.38483e-13
2900.0,2.11496e-13
3000.0,1.86352e-13
========================================
hono_R1_Energy_1_34.9759.out
0.1 atm
T,P1->W1
200.0,4.01835e-12
210.0,3.50708e-12
220.0,3.07398e-12
230.0,2.70497e-12
240.0,2.38982e-12
250.0,2.11875e-12
260.0,1.88552e-12
270.0,1.68353e-12
280.0,1.5082e-12
290.0,1.35517e-12
300.0,1.22126e-12
310.0,1.104e-12
320.0,1.00092e-12
330.0,9.09447e-13
340.0,8.2857e-13
350.0,7.56555e-13
360.0,6.92315e-13
370.0,6.35213e-13
380.0,5.83785e-13
390.0,5.3766e-13
400.0,4.96072e-13
410.0,4.58456e-13
420.0,4.24676e-13
430.0,3.93869e-13
440.0,3.65828e-13
450.0,3.40265e-13
460.0,3.1706e-13
470.0,2.95841e-13
480.0,2.76476e-13
490.0,2.58733e-13
500.0,2.42284e-13
510.0,2.27183e-13
520.0,2.13327e-13
530.0,2.00571e-13
540.0,1.88626e-13
550.0,1.77671e-13
560.0,1.67599e-13
570.0,1.5812e-13
580.0,1.49339e-13
590.0,1.41168e-13
600.0,1.33572e-13
610.0,1.26566e-13
620.0,1.1997e-13
630.0,1.13702e-13
640.0,1.07929e-13
650.0,1.0255e-13
660.0,9.74507e-14
670.0,9.27257e-14
680.0,8.82519e-14
690.0,8.41459e-14
700.0,8.01587e-14
800.0,5.10552e-14
900.0,3.41885e-14
1000.0,2.36143e-14
1100.0,1.6814e-14
1200.0,1.23197e-14
1300.0,9.24185e-15
1400.0,6.96127e-15
1500.0,5.43078e-15
1600.0,4.16101e-15
1700.0,3.32633e-15
1800.0,2.65878e-15
1900.0,2.17097e-15
2000.0,1.77381e-15
2100.0,1.45453e-15
2200.0,1.18308e-15
2300.0,1.028e-15
2400.0,8.46222e-16
2500.0,7.2972e-16
2600.0,6.17708e-16
2700.0,5.38624e-16
2800.0,4.70424e-16
2900.0,4.06903e-16
3000.0,3.4823e-16
========================================
hono_R1_Energy_1_34.9759.out
0.2154 atm
T,P1->W1
200.0,6.39702e-12
210.0,5.65556e-12
220.0,5.01642e-12
230.0,4.46354e-12
240.0,3.98433e-12
250.0,3.56667e-12
260.0,3.20272e-12
270.0,2.88383e-12
280.0,2.60401e-12
290.0,2.35741e-12
300.0,2.13944e-12
310.0,1.94679e-12
320.0,1.7759e-12
330.0,1.62316e-12
340.0,1.48707e-12
350.0,1.36503e-12
360.0,1.25551e-12
370.0,1.15734e-12
380.0,1.06848e-12
390.0,9.8832e-13
400.0,9.1563e-13
410.0,8.49652e-13
420.0,7.89887e-13
430.0,7.35228e-13
440.0,6.85292e-13
450.0,6.39588e-13
460.0,5.97859e-13
470.0,5.59548e-13
480.0,5.24401e-13
490.0,4.92067e-13
500.0,4.62081e-13
510.0,4.34431e-13
520.0,4.08954e-13
530.0,3.8537e-13
540.0,3.63355e-13
550.0,3.43016e-13
560.0,3.24197e-13
570.0,3.06556e-13
580.0,2.90132e-13
590.0,2.74822e-13
600.0,2.6054e-13
610.0,2.4726e-13
620.0,2.34788e-13
630.0,2.22984e-13
640.0,2.12026e-13
650.0,2.0177e-13
660.0,1.92064e-13
670.0,1.83019e-13
680.0,1.74458e-13
690.0,1.66502e-13
700.0,1.58865e-13
800.0,1.02519e-13
900.0,6.92151e-14
1000.0,4.8293e-14
1100.0,3.46533e-14
1200.0,2.54511e-14
1300.0,1.91065e-14
1400.0,1.45005e-14
1500.0,1.13132e-14
1600.0,8.75117e-15
1700.0,6.95665e-15
1800.0,5.61748e-15
1900.0,4.56014e-15
2000.0,3.73171e-15
2100.0,3.08426e-15
2200.0,2.52591e-15
2300.0,2.1744e-15
2400.0,1.79963e-15
2500.0,1.56168e-15
2600.0,1.32377e-15
2700.0,1.15547e-15
2800.0,1.00949e-15
2900.0,8.73958e-16
3000.0,7.47382e-16
========================================
hono_R1_Energy_1_34.9759.out
0.4641 atm
T,P1->W1
200.0,9.65775e-12
210.0,8.66078e-12
220.0,7.78438e-12
230.0,7.01284e-12
240.0,6.33278e-12
250.0,5.73092e-12
260.0,5.19875e-12
270.0,4.72613e-12
280.0,4.30616e-12
290.0,3.93174e-12
300.0,3.59698e-12
310.0,3.29794e-12
320.0,3.02991e-12
330.0,2.78822e-12
340.0,2.57096e-12
350.0,2.37447e-12
360.0,2.19682e-12
370.0,2.03617e-12
380.0,1.88979e-12
390.0,1.75685e-12
400.0,1.63548e-12
410.0,1.52474e-12
420.0,1.42362e-12
430.0,1.33072e-12
440.0,1.24542e-12
450.0,1.16696e-12
460.0,1.09489e-12
470.0,1.02842e-12
480.0,9.6709e-13
490.0,9.10413e-13
500.0,8.57721e-13
510.0,8.08919e-13
520.0,7.6373e-13
530.0,7.21698e-13
540.0,6.82445e-13
550.0,6.45971e-13
560.0,6.12034e-13
570.0,5.80229e-13
580.0,5.50486e-13
590.0,5.22689e-13
600.0,4.96667e-13
610.0,4.72318e-13
620.0,4.49447e-13
630.0,4.27823e-13
640.0,4.07617e-13
650.0,3.8864e-13
660.0,3.70677e-13
670.0,3.53853e-13
680.0,3.37916e-13
690.0,3.23003e-13
700.0,3.08751e-13
800.0,2.02268e-13
900.0,1.38119e-13
1000.0,9.73164e-14
1100.0,7.04209e-14
1200.0,5.20729e-14
1300.0,3.92473e-14
1400.0,3.00008e-14
1500.0,2.33784e-14
1600.0,1.82815e-14
1700.0,1.45235e-14
1800.0,1.17533e-14
1900.0,9.52114e-15
2000.0,7.80609e-15
2100.0,6.48708e-15
2200.0,5.36753e-15
2300.0,4.57175e-15
2400.0,3.82784e-15
2500.0,3.32471e-15
2600.0,2.82931e-15
2700.0,2.46982e-15
2800.0,2.15908e-15
2900.0,1.87226e-15
3000.0,1.60287e-15
========================================
hono_R1_Energy_1_34.9759.out
1.0 atm
T,P1->W1
200.0,1.37585e-11
210.0,1.25286e-11
220.0,1.14237e-11
230.0,1.04316e-11
240.0,9.54043e-12
250.0,8.73788e-12
260.0,8.01648e-12
270.0,7.3658e-12
280.0,6.77921e-12
290.0,6.24913e-12
300.0,5.769e-12
310.0,5.33479e-12
320.0,4.94101e-12
330.0,4.58218e-12
340.0,4.25621e-12
350.0,3.95853e-12
360.0,3.68697e-12
370.0,3.439e-12
380.0,3.21125e-12
390.0,3.0027e-12
400.0,2.81083e-12
410.0,2.6346e-12
420.0,2.47232e-12
430.0,2.32233e-12
440.0,2.18379e-12
450.0,2.05553e-12
460.0,1.93699e-12
470.0,1.82701e-12
480.0,1.72493e-12
490.0,1.63009e-12
500.0,1.54155e-12
510.0,1.45915e-12
520.0,1.38242e-12
530.0,1.3107e-12
540.0,1.24354e-12
550.0,1.1808e-12
560.0,1.12211e-12
570.0,1.06699e-12
580.0,1.01522e-12
590.0,9.66655e-13
600.0,9.21019e-13
610.0,8.78079e-13
620.0,8.37675e-13
630.0,7.99429e-13
640.0,7.63492e-13
650.0,7.2962e-13
660.0,6.97503e-13
670.0,6.67289e-13
680.0,6.38612e-13
690.0,6.1164e-13
700.0,5.85876e-13
800.0,3.90742e-13
900.0,2.70547e-13
1000.0,1.92843e-13
1100.0,1.4089e-13
1200.0,1.05046e-13
1300.0,7.96998e-14
1400.0,6.13313e-14
1500.0,4.79155e-14
1600.0,3.77598e-14
1700.0,3.011e-14
1800.0,2.43614e-14
1900.0,1.97872e-14
2000.0,1.62632e-14
2100.0,1.35415e-14
2200.0,1.13107e-14
2300.0,9.57545e-15
2400.0,8.10525e-15
2500.0,7.02412e-15
2600.0,6.01236e-15
2700.0,5.24677e-15
2800.0,4.59126e-15
2900.0,3.99145e-15
3000.0,3.42699e-15
========================================
hono_R1_Energy_1_34.9759.out
2.154 atm
T,P1->W1
200.0,1.84295e-11
210.0,1.70505e-11
220.0,1.57828e-11
230.0,1.46195e-11
240.0,1.35529e-11
250.0,1.25736e-11
260.0,1.16771e-11
270.0,1.08543e-11
280.0,1.01005e-11
290.0,9.40868e-12
300.0,8.7728e-12
310.0,8.18966e-12
320.0,7.65375e-12
330.0,7.15939e-12
340.0,6.70487e-12
350.0,6.28511e-12
360.0,5.89811e-12
370.0,5.5409e-12
380.0,5.20971e-12
390.0,4.90354e-12
400.0,4.61931e-12
410.0,4.35609e-12
420.0,4.11155e-12
430.0,3.88382e-12
440.0,3.67191e-12
450.0,3.47428e-12
460.0,3.29031e-12
470.0,3.1185e-12
480.0,2.95791e-12
490.0,2.80776e-12
500.0,2.66685e-12
510.0,2.53494e-12
520.0,2.41133e-12
530.0,2.29517e-12
540.0,2.1859e-12
550.0,2.08328e-12
560.0,1.98672e-12
570.0,1.8957e-12
580.0,1.80977e-12
590.0,1.72884e-12
600.0,1.65243e-12
610.0,1.58015e-12
620.0,1.51192e-12
630.0,1.44717e-12
640.0,1.386e-12
650.0,1.32812e-12
660.0,1.27308e-12
670.0,1.22107e-12
680.0,1.17156e-12
690.0,1.12478e-12
700.0,1.08003e-12
800.0,7.3569e-13
900.0,5.17957e-13
1000.0,3.74341e-13
1100.0,2.76645e-13
1200.0,2.08276e-13
1300.0,1.59329e-13
1400.0,1.23516e-13
1500.0,9.70436e-14
1600.0,7.69507e-14
1700.0,6.169e-14
1800.0,5.00215e-14
1900.0,4.08257e-14
2000.0,3.36694e-14
2100.0,2.80732e-14
2200.0,2.35832e-14
2300.0,1.99729e-14
2400.0,1.70138e-14
2500.0,1.47129e-14
2600.0,1.26665e-14
2700.0,1.10539e-14
2800.0,9.68688e-15
2900.0,8.44761e-15
3000.0,7.28411e-15
========================================
hono_R1_Energy_1_34.9759.out
4.641 atm
T,P1->W1
200.0,2.31948e-11
210.0,2.17987e-11
220.0,2.04851e-11
230.0,1.92522e-11
240.0,1.80972e-11
250.0,1.70147e-11
260.0,1.6004e-11
270.0,1.50589e-11
280.0,1.41774e-11
290.0,1.33546e-11
300.0,1.2586e-11
310.0,1.187e-11
320.0,1.12022e-11
330.0,1.05776e-11
340.0,9.99545e-12
350.0,9.4509e-12
360.0,8.94272e-12
370.0,8.46797e-12
380.0,8.02294e-12
390.0,7.60702e-12
400.0,7.2169e-12
410.0,6.85207e-12
420.0,6.50978e-12
430.0,6.18815e-12
440.0,5.88626e-12
450.0,5.6023e-12
460.0,5.33577e-12
470.0,5.0849e-12
480.0,4.84855e-12
490.0,4.62596e-12
500.0,4.41565e-12
510.0,4.21744e-12
520.0,4.03041e-12
530.0,3.85348e-12
540.0,3.68614e-12
550.0,3.52799e-12
560.0,3.37823e-12
570.0,3.23634e-12
580.0,3.10166e-12
590.0,2.97411e-12
600.0,2.85308e-12
610.0,2.73793e-12
620.0,2.62877e-12
630.0,2.52477e-12
640.0,2.42598e-12
650.0,2.33206e-12
660.0,2.24242e-12
670.0,2.1573e-12
680.0,2.07597e-12
690.0,1.99876e-12
700.0,1.92468e-12
800.0,1.34395e-12
900.0,9.65153e-13
1000.0,7.09102e-13
1100.0,5.31276e-13
1200.0,4.04665e-13
1300.0,3.12667e-13
1400.0,2.44531e-13
1500.0,1.93544e-13
1600.0,1.54544e-13
1700.0,1.24652e-13
1800.0,1.01551e-13
1900.0,8.33221e-14
2000.0,6.90169e-14
2100.0,5.77202e-14
2200.0,4.86684e-14
2300.0,4.13691e-14
2400.0,3.53597e-14
2500.0,3.05896e-14
2600.0,2.64462e-14
2700.0,2.31058e-14
2800.0,2.02873e-14
2900.0,1.77457e-14
3000.0,1.53719e-14
========================================
hono_R1_Energy_1_34.9759.out
10.0 atm
T,P1->W1
200.0,2.74981e-11
210.0,2.62215e-11
220.0,2.49947e-11
230.0,2.38186e-11
240.0,2.26936e-11
250.0,2.16177e-11
260.0,2.0593e-11
270.0,1.9616e-11
280.0,1.86877e-11
290.0,1.78056e-11
300.0,1.69671e-11
310.0,1.61729e-11
320.0,1.54202e-11
330.0,1.47052e-11
340.0,1.4029e-11
350.0,1.33873e-11
360.0,1.27803e-11
370.0,1.22056e-11
380.0,1.16601e-11
390.0,1.1144e-11
400.0,1.06542e-11
410.0,1.01911e-11
420.0,9.75167e-12
430.0,9.33449e-12
440.0,8.93901e-12
450.0,8.56333e-12
460.0,8.20735e-12
470.0,7.86926e-12
480.0,7.54784e-12
490.0,7.24259e-12
500.0,6.95185e-12
510.0,6.67565e-12
520.0,6.41298e-12
530.0,6.16259e-12
540.0,5.92416e-12
550.0,5.69722e-12
560.0,5.48075e-12
570.0,5.27438e-12
580.0,5.07722e-12
590.0,4.88934e-12
600.0,4.70997e-12
610.0,4.53824e-12
620.0,4.37456e-12
630.0,4.21781e-12
640.0,4.06805e-12
650.0,3.92489e-12
660.0,3.78758e-12
670.0,3.65652e-12
680.0,3.53068e-12
690.0,3.41059e-12
700.0,3.29494e-12
800.0,2.36788e-12
900.0,1.74054e-12
1000.0,1.30378e-12
1100.0,9.92832e-13
1200.0,7.66805e-13
1300.0,5.99619e-13
1400.0,4.73918e-13
1500.0,3.78516e-13
1600.0,3.04777e-13
1700.0,2.47629e-13
1800.0,2.03004e-13
1900.0,1.6757e-13
2000.0,1.39537e-13
2100.0,1.17225e-13
2200.0,9.92553e-14
2300.0,8.4733e-14
2400.0,7.26755e-14
2500.0,6.30351e-14
2600.0,5.46889e-14
2700.0,4.78983e-14
2800.0,4.21625e-14
2900.0,3.69923e-14
3000.0,3.21791e-14
========================================
hono_R1_Energy_1_34.9759.out
65 atm
T,P1->W1
200.0,3.4045e-11
210.0,3.32891e-11
220.0,3.25513e-11
230.0,3.1828e-11
240.0,3.1118e-11
250.0,3.04186e-11
260.0,2.97305e-11
270.0,2.90515e-11
280.0,2.83828e-11
290.0,2.77234e-11
300.0,2.70729e-11
310.0,2.64332e-11
320.0,2.58038e-11
330.0,2.51835e-11
340.0,2.45745e-11
350.0,2.39755e-11
360.0,2.33882e-11
370.0,2.28126e-11
380.0,2.22473e-11
390.0,2.16942e-11
400.0,2.1152e-11
410.0,2.06229e-11
420.0,2.0105e-11
430.0,1.95984e-11
440.0,1.9104e-11
450.0,1.86207e-11
460.0,1.81498e-11
470.0,1.76905e-11
480.0,1.72421e-11
490.0,1.68054e-11
500.0,1.6379e-11
510.0,1.59641e-11
520.0,1.55601e-11
530.0,1.51659e-11
540.0,1.47824e-11
550.0,1.44094e-11
560.0,1.40458e-11
570.0,1.36921e-11
580.0,1.33474e-11
590.0,1.30125e-11
600.0,1.26866e-11
610.0,1.23686e-11
620.0,1.20602e-11
630.0,1.17596e-11
640.0,1.14674e-11
650.0,1.11833e-11
660.0,1.09064e-11
670.0,1.06378e-11
680.0,1.03758e-11
690.0,1.01219e-11
700.0,9.87396e-12
800.0,7.7386e-12
900.0,6.112e-12
1000.0,4.8644e-12
1100.0,3.90109e-12
1200.0,3.15107e-12
1300.0,2.56259e-12
1400.0,2.09686e-12
1500.0,1.72677e-12
1600.0,1.42953e-12
1700.0,1.19069e-12
1800.0,9.9786e-13
1900.0,8.40652e-13
2000.0,7.12907e-13
2100.0,6.08763e-13
2200.0,5.23298e-13
2300.0,4.53026e-13
2400.0,3.93691e-13
2500.0,3.45328e-13
2600.0,3.03201e-13
2700.0,2.68292e-13
2800.0,2.38483e-13
2900.0,2.11496e-13
3000.0,1.86352e-13
========================================
hono_B2_Energy_1_34.9759.out
0.1 atm
T,P1->W1
200.0,4.0185e-12
210.0,3.50681e-12
220.0,3.07379e-12
230.0,2.70506e-12
240.0,2.38977e-12
250.0,2.11875e-12
260.0,1.88552e-12
270.0,1.68355e-12
280.0,1.5082e-12
290.0,1.35537e-12
300.0,1.22149e-12
310.0,1.10403e-12
320.0,1.00075e-12
330.0,9.09496e-13
340.0,8.2856e-13
350.0,7.56394e-13
360.0,6.92484e-13
370.0,6.35104e-13
380.0,5.83721e-13
390.0,5.37603e-13
400.0,4.95997e-13
410.0,4.58558e-13
420.0,4.24533e-13
430.0,3.93716e-13
440.0,3.65764e-13
450.0,3.40428e-13
460.0,3.17218e-13
470.0,2.96016e-13
480.0,2.76413e-13
490.0,2.5859e-13
500.0,2.42216e-13
510.0,2.27203e-13
520.0,2.13321e-13
530.0,2.00443e-13
540.0,1.88725e-13
550.0,1.77712e-13
560.0,1.67488e-13
570.0,1.58117e-13
580.0,1.49373e-13
590.0,1.4126e-13
600.0,1.33673e-13
610.0,1.26508e-13
620.0,1.19903e-13
630.0,1.13771e-13
640.0,1.0803e-13
650.0,1.02634e-13
660.0,9.75312e-14
670.0,9.28147e-14
680.0,8.83493e-14
690.0,8.40759e-14
700.0,8.01013e-14
800.0,5.11299e-14
900.0,3.42097e-14
1000.0,2.3609e-14
1100.0,1.68524e-14
1200.0,1.24034e-14
1300.0,9.27524e-15
1400.0,7.02495e-15
1500.0,5.39382e-15
1600.0,4.20371e-15
1700.0,3.35426e-15
1800.0,2.62694e-15
1900.0,2.1621e-15
2000.0,1.76738e-15
2100.0,1.44242e-15
2200.0,1.19087e-15
2300.0,1.02378e-15
2400.0,8.58501e-16
2500.0,7.23653e-16
2600.0,6.22421e-16
2700.0,5.35655e-16
2800.0,4.67242e-16
2900.0,4.05818e-16
3000.0,3.53851e-16
========================================
hono_B2_Energy_1_34.9759.out
0.2154 atm
T,P1->W1
200.0,6.39718e-12
210.0,5.65526e-12
220.0,5.01621e-12
230.0,4.46362e-12
240.0,3.98428e-12
250.0,3.56667e-12
260.0,3.20271e-12
270.0,2.88385e-12
280.0,2.60401e-12
290.0,2.35762e-12
300.0,2.13969e-12
310.0,1.94684e-12
320.0,1.77569e-12
330.0,1.62322e-12
340.0,1.48705e-12
350.0,1.36484e-12
360.0,1.25569e-12
370.0,1.15721e-12
380.0,1.06843e-12
390.0,9.88268e-13
400.0,9.15565e-13
410.0,8.4974e-13
420.0,7.89729e-13
430.0,7.35057e-13
440.0,6.85247e-13
450.0,6.39778e-13
460.0,5.98044e-13
470.0,5.59761e-13
480.0,5.2432e-13
490.0,4.91904e-13
500.0,4.61992e-13
510.0,4.34465e-13
520.0,4.08937e-13
530.0,3.85228e-13
540.0,3.63454e-13
550.0,3.43069e-13
560.0,3.24079e-13
570.0,3.06544e-13
580.0,2.90162e-13
590.0,2.74914e-13
600.0,2.60642e-13
610.0,2.47199e-13
620.0,2.34714e-13
630.0,2.23059e-13
640.0,2.12134e-13
650.0,2.01855e-13
660.0,1.92154e-13
670.0,1.83107e-13
680.0,1.74553e-13
690.0,1.66419e-13
700.0,1.5882e-13
800.0,1.02586e-13
900.0,6.92391e-14
1000.0,4.82689e-14
1100.0,3.46509e-14
1200.0,2.55299e-14
1300.0,1.91721e-14
1400.0,1.45632e-14
1500.0,1.12946e-14
1600.0,8.77981e-15
1700.0,7.00217e-15
1800.0,5.57221e-15
1900.0,4.5619e-15
2000.0,3.73432e-15
2100.0,3.06906e-15
2200.0,2.52538e-15
2300.0,2.17379e-15
2400.0,1.81251e-15
2500.0,1.55076e-15
2600.0,1.32532e-15
2700.0,1.14911e-15
2800.0,1.00332e-15
2900.0,8.71256e-16
3000.0,7.54434e-16
========================================
hono_B2_Energy_1_34.9759.out
0.4641 atm
T,P1->W1
200.0,9.65792e-12
210.0,8.66044e-12
220.0,7.78415e-12
230.0,7.01293e-12
240.0,6.33272e-12
250.0,5.73092e-12
260.0,5.19875e-12
270.0,4.72616e-12
280.0,4.30617e-12
290.0,3.93197e-12
300.0,3.59727e-12
310.0,3.298e-12
320.0,3.02965e-12
330.0,2.78831e-12
340.0,2.57091e-12
350.0,2.37425e-12
360.0,2.197e-12
370.0,2.036e-12
380.0,1.88976e-12
390.0,1.75681e-12
400.0,1.63544e-12
410.0,1.5248e-12
420.0,1.42345e-12
430.0,1.33053e-12
440.0,1.24541e-12
450.0,1.16718e-12
460.0,1.09511e-12
470.0,1.02868e-12
480.0,9.66986e-13
490.0,9.10233e-13
500.0,8.57612e-13
510.0,8.08967e-13
520.0,7.63707e-13
530.0,7.2154e-13
540.0,6.82547e-13
550.0,6.46039e-13
560.0,6.11908e-13
570.0,5.80206e-13
580.0,5.50511e-13
590.0,5.22778e-13
600.0,4.96765e-13
610.0,4.72264e-13
620.0,4.49377e-13
630.0,4.279e-13
640.0,4.0774e-13
650.0,3.88741e-13
660.0,3.70783e-13
670.0,3.53956e-13
680.0,3.38022e-13
690.0,3.22902e-13
700.0,3.08708e-13
800.0,2.02343e-13
900.0,1.38129e-13
1000.0,9.73091e-14
1100.0,7.04173e-14
1200.0,5.21272e-14
1300.0,3.931e-14
1400.0,3.00384e-14
1500.0,2.33907e-14
1600.0,1.82839e-14
1700.0,1.45654e-14
1800.0,1.17054e-14
1900.0,9.54361e-15
2000.0,7.82692e-15
2100.0,6.47789e-15
2200.0,5.35341e-15
2300.0,4.58233e-15
2400.0,3.83448e-15
2500.0,3.30844e-15
2600.0,2.82482e-15
2700.0,2.45865e-15
2800.0,2.14854e-15
2900.0,1.86738e-15
3000.0,1.61222e-15
========================================
hono_B2_Energy_1_34.9759.out
1.0 atm
T,P1->W1
200.0,1.37587e-11
210.0,1.25282e-11
220.0,1.14235e-11
230.0,1.04316e-11
240.0,9.54036e-12
250.0,8.73788e-12
260.0,8.01647e-12
270.0,7.36584e-12
280.0,6.77922e-12
290.0,6.24938e-12
300.0,5.76932e-12
310.0,5.33487e-12
320.0,4.9407e-12
330.0,4.58229e-12
340.0,4.25615e-12
350.0,3.95829e-12
360.0,3.68713e-12
370.0,3.43876e-12
380.0,3.21123e-12
390.0,3.00269e-12
400.0,2.81085e-12
410.0,2.6346e-12
420.0,2.47215e-12
430.0,2.32212e-12
440.0,2.18381e-12
450.0,2.0558e-12
460.0,1.93725e-12
470.0,1.82732e-12
480.0,1.7248e-12
490.0,1.6299e-12
500.0,1.54143e-12
510.0,1.45921e-12
520.0,1.3824e-12
530.0,1.31052e-12
540.0,1.24366e-12
550.0,1.18089e-12
560.0,1.12197e-12
570.0,1.06695e-12
580.0,1.01522e-12
590.0,9.6673e-13
600.0,9.211e-13
610.0,8.78048e-13
620.0,8.37622e-13
630.0,7.99499e-13
640.0,7.63638e-13
650.0,7.29751e-13
660.0,6.97637e-13
670.0,6.67423e-13
680.0,6.38739e-13
690.0,6.11506e-13
700.0,5.85839e-13
800.0,3.90816e-13
900.0,2.70549e-13
1000.0,1.92851e-13
1100.0,1.40898e-13
1200.0,1.05098e-13
1300.0,7.97527e-14
1400.0,6.13584e-14
1500.0,4.79397e-14
1600.0,3.77527e-14
1700.0,3.01358e-14
1800.0,2.43179e-14
1900.0,1.98224e-14
2000.0,1.6296e-14
2100.0,1.35485e-14
2200.0,1.12855e-14
2300.0,9.59817e-15
2400.0,8.10145e-15
2500.0,7.00736e-15
2600.0,6.0017e-15
2700.0,5.2323e-15
2800.0,4.57718e-15
2900.0,3.98604e-15
3000.0,3.4427e-15
========================================
hono_B2_Energy_1_34.9759.out
2.154 atm
T,P1->W1
200.0,1.84297e-11
210.0,1.70501e-11
220.0,1.57825e-11
230.0,1.46196e-11
240.0,1.35528e-11
250.0,1.25736e-11
260.0,1.16771e-11
270.0,1.08544e-11
280.0,1.01005e-11
290.0,9.40893e-12
300.0,8.77314e-12
310.0,8.18975e-12
320.0,7.6534e-12
330.0,7.15951e-12
340.0,6.70481e-12
350.0,6.28487e-12
360.0,5.89824e-12
370.0,5.5406e-12
380.0,5.20968e-12
390.0,4.90356e-12
400.0,4.61939e-12
410.0,4.35603e-12
420.0,4.11137e-12
430.0,3.88358e-12
440.0,3.67197e-12
450.0,3.47463e-12
460.0,3.29064e-12
470.0,3.11887e-12
480.0,2.95774e-12
490.0,2.80757e-12
500.0,2.66672e-12
510.0,2.535e-12
520.0,2.41133e-12
530.0,2.29497e-12
540.0,2.18605e-12
550.0,2.08338e-12
560.0,1.98654e-12
570.0,1.89562e-12
580.0,1.80975e-12
590.0,1.72887e-12
600.0,1.65247e-12
610.0,1.58015e-12
620.0,1.5119e-12
630.0,1.44722e-12
640.0,1.38617e-12
650.0,1.3283e-12
660.0,1.27325e-12
670.0,1.22125e-12
680.0,1.17172e-12
690.0,1.1246e-12
700.0,1.08e-12
800.0,7.35755e-13
900.0,5.17952e-13
1000.0,3.74368e-13
1100.0,2.7666e-13
1200.0,2.08341e-13
1300.0,1.59389e-13
1400.0,1.23553e-13
1500.0,9.70665e-14
1600.0,7.69553e-14
1700.0,6.17151e-14
1800.0,4.99611e-14
1900.0,4.08581e-14
2000.0,3.36992e-14
2100.0,2.80916e-14
2200.0,2.35595e-14
2300.0,1.99964e-14
2400.0,1.70059e-14
2500.0,1.47052e-14
2600.0,1.26576e-14
2700.0,1.10442e-14
2800.0,9.67538e-15
2900.0,8.44975e-15
3000.0,7.31891e-15
========================================
hono_B2_Energy_1_34.9759.out
4.641 atm
T,P1->W1
200.0,2.3195e-11
210.0,2.17984e-11
220.0,2.04848e-11
230.0,1.92523e-11
240.0,1.80971e-11
250.0,1.70147e-11
260.0,1.6004e-11
270.0,1.5059e-11
280.0,1.41774e-11
290.0,1.33549e-11
300.0,1.25863e-11
310.0,1.18701e-11
320.0,1.12019e-11
330.0,1.05777e-11
340.0,9.99539e-12
350.0,9.45067e-12
360.0,8.94283e-12
370.0,8.46762e-12
380.0,8.0229e-12
390.0,7.60709e-12
